id,param
1,"{""a"": -31137.00421978103, ""b"": 24004.21655840175, ""c"": 1191595.779641735}"
2,"{""a"": -25510.05731178563, ""b"": -36161.832113319004, ""c"": 3183677.759914476}"
3,"{""a"": 5438.715509848966, ""b"": -55401.3339847034, ""c"": 1820805.0224079078}"
4,"{""a"": -33974.6538301708, ""b"": -46660.95655959596, ""c"": 4178747.0684633637}"
5,"{""a"": 15190.401722984594, ""b"": 24882.567184732852, ""c"": -2023413.8634103006}"
6,"{""a"": 4425.494551022858, ""b"": -40237.08982589928, ""c"": 1290692.1021840516}"
7,"{""a"": -39310.71490720772, ""b"": -21764.59363790985, ""c"": 3561347.193632055}"
8,"{""a"": -16578.99612801133, ""b"": 18429.73646625368, ""c"": 411469.07768175297}"
9,"{""a"": 52171.690937237894, ""b"": -30905.348789453143, ""c"": -2355588.3098818795}"
10,"{""a"": 21030.54912056893, ""b"": -69623.98226181566, ""c"": 1313257.9236640844}"
11,"{""a"": 43487.539821668855, ""b"": 21804.23288659785, ""c"": -3847070.6864173776}"
12,"{""a"": -8220.89517273493, ""b"": -60856.551990291046, ""c"": 2974176.6732684392}"
13,"{""a"": -12532.86356622412, ""b"": -58922.639804010825, ""c"": 3194139.166122212}"
14,"{""a"": 35132.78750196921, ""b"": -20530.80905279146, ""c"": -1598504.4107224494}"
15,"{""a"": 36265.56912113765, ""b"": 28482.016375245526, ""c"": -3611529.778986786}"
17,"{""a"": 23747.193830309265, ""b"": -25245.588069060927, ""c"": -629936.1580719883}"
18,"{""a"": -40258.19413912445, ""b"": 20577.612965267443, ""c"": 1954970.0647936715}"
19,"{""a"": 4767.631987529573, ""b"": -14398.80699450165, ""c"": 244731.20696201772}"
20,"{""a"": 25806.158608623336, ""b"": 8668.68118604659, ""c"": -2110266.0259396555}"
21,"{""a"": 33611.112087118214, ""b"": 16769.048948873155, ""c"": -2966144.495317448}"
22,"{""a"": -24187.536725650156, ""b"": 7264.6769977562435, ""c"": 1376473.1137349016}"
23,"{""a"": 31368.82809285091, ""b"": -29316.247167991663, ""c"": -992135.0938310703}"
24,"{""a"": -19175.630323956175, ""b"": -5640.775311433732, ""c"": 1542829.9103459432}"
25,"{""a"": 5644.391949619545, ""b"": -29068.967311901928, ""c"": 764751.0792555896}"
27,"{""a"": 16260.749272154353, ""b"": -67793.65184366902, ""c"": 1568312.5242747217}"
28,"{""a"": -30507.71324610337, ""b"": -56391.03956446082, ""c"": 4328195.830053671}"
29,"{""a"": -29664.02438194551, ""b"": 60.17141121689929, ""c"": 2035064.2715394087}"
31,"{""a"": -16693.813829408205, ""b"": -62837.779146926856, ""c"": 3633928.4421766223}"
32,"{""a"": 36115.175314885484, ""b"": -36741.82038720201, ""c"": -1022937.9176624495}"
33,"{""a"": 30582.21875576905, ""b"": 21669.634608689765, ""c"": -2955177.280879006}"
34,"{""a"": 16822.448432661433, ""b"": -25958.95866015651, ""c"": -126400.10118305801}"
35,"{""a"": -21788.19514697892, ""b"": -65449.28565151861, ""c"": 4087817.4903225484}"
36,"{""a"": -7792.842788463264, ""b"": -35277.231930748356, ""c"": 1933214.2931975601}"
37,"{""a"": 25442.443363282375, ""b"": -34369.9039466138, ""c"": -385525.1881179916}"
39,"{""a"": -41186.38236362681, ""b"": 50276.83808392694, ""c"": 840649.7241593592}"
40,"{""a"": 41298.05057722115, ""b"": -44856.91673849986, ""c"": -1057769.871901899}"
41,"{""a"": 51861.85753894216, ""b"": -20207.098157407905, ""c"": -2757479.0307488916}"
42,"{""a"": 1906.821101542899, ""b"": -37662.374240788464, ""c"": 1361434.681356262}"
43,"{""a"": -30973.04937381646, ""b"": -1730.53445224007, ""c"": 2196719.9123967877}"
44,"{""a"": 50739.73978674464, ""b"": -26317.065448479363, ""c"": -2438766.398735454}"
45,"{""a"": 29632.141132261673, ""b"": -17399.881051322845, ""c"": -1341714.1883781548}"
46,"{""a"": -40320.925543145706, ""b"": 16647.61849947476, ""c"": 2113236.1779673262}"
47,"{""a"": -27349.09939243567, ""b"": -21774.94200459628, ""c"": 2739921.144645609}"
48,"{""a"": 19798.459751843635, ""b"": -36560.25052760329, ""c"": 90665.22178731469}"
49,"{""a"": -38993.32510248444, ""b"": 13260.030193436702, ""c"": 2156051.579507879}"
50,"{""a"": -34483.501814539064, ""b"": 16287.442975698934, ""c"": 1726945.6167324975}"
51,"{""a"": 32301.84088920568, ""b"": -27752.727527597737, ""c"": -1118398.8167822042}"
52,"{""a"": 14224.969727646356, ""b"": -34567.14324164541, ""c"": 392603.8329542541}"
53,"{""a"": 64219.447179905925, ""b"": -19212.216287728123, ""c"": -3644962.006506728}"
54,"{""a"": -17212.940251208427, ""b"": -66598.2694806217, ""c"": 3818683.5303230826}"
55,"{""a"": 13821.639384188557, ""b"": -21358.89979094918, ""c"": -102081.70494369912}"
