id,param
68,"{""a"": 41738.73845904316, ""b"": -52188.534268737305, ""c"": -798065.368741064}"
69,"{""a"": -7632.022371938963, ""b"": -52677.80539782575, ""c"": 2610760.0053487797}"
70,"{""a"": -49319.98401977369, ""b"": -45206.143466027665, ""c"": 5177398.170973075}"
71,"{""a"": -33352.374822665035, ""b"": -22876.371626412576, ""c"": 3197901.489555714}"
72,"{""a"": -24712.366832380023, ""b"": 4159.623579411782, ""c"": 1535352.0905366351}"
73,"{""a"": -30698.197798404755, ""b"": 25157.492897697957, ""c"": 1115884.2681416546}"
74,"{""a"": -23421.25355115631, ""b"": 2780.2201704986874, ""c"": 1501231.602860508}"
75,"{""a"": -8802.00639221652, ""b"": -31881.285511343573, ""c"": 1868202.5670941395}"
76,"{""a"": -6393.243963025604, ""b"": -35248.934659145096, ""c"": 1835975.4074477279}"
77,"{""a"": -2362.939453155713, ""b"": -8640.007990068283, ""c"": 506769.8749415277}"
78,"{""a"": -24131.44975144913, ""b"": 17729.976029906473, ""c"": 958890.1580855306}"
79,"{""a"": -4146.519886389852, ""b"": -8011.629971641835, ""c"": 604353.7992425399}"
80,"{""a"": 30073.05575276398, ""b"": -32030.140269828444, ""c"": -796130.2747883775}"
81,"{""a"": 27931.121271331725, ""b"": -28618.34605828664, ""c"": -783940.7497168304}"
82,"{""a"": -7218.017578243532, ""b"": -31858.393998456966, ""c"": 1758713.3759188214}"
83,"{""a"": 26890.376420646753, ""b"": -23542.382812631062, ""c"": -913312.8677392878}"
84,"{""a"": 21832.31090218594, ""b"": -3311.998402097961, ""c"": -1365961.4608080147}"
85,"{""a"": -29649.223188798343, ""b"": 17595.822975760457, ""c"": 1344013.9184578226}"
86,"{""a"": -21136.89630655166, ""b"": 5761.629971495182, ""c"": 1227226.435632226}"
87,"{""a"": 8829.771839510217, ""b"": -23134.929865131926, ""c"": 311153.4985532904}"
88,"{""a"": 17164.52636721323, ""b"": -30333.291903467372, ""c"": 23162.998098274857}"
89,"{""a"": -3962.785456645479, ""b"": -31208.762429002865, ""c"": 1509549.1277558187}"
90,"{""a"": 20009.07827538604, ""b"": -28196.231356723467, ""c"": -256909.67539408238}"
91,"{""a"": -4331.489701586253, ""b"": -13478.746448858248, ""c"": 833050.3688215747}"
92,"{""a"": -10608.478338177687, ""b"": -32607.82137764198, ""c"": 2020083.1987079168}"
93,"{""a"": -18769.122869304392, ""b"": -26315.971235809047, ""c"": 2330985.7010272015}"
94,"{""a"": -18865.642755655135, ""b"": -12683.416193059453, ""c"": 1798465.1837313445}"
95,"{""a"": 26710.36044044936, ""b"": 1431.8181817856894, ""c"": -1886069.8187428368}"
96,"{""a"": 31234.889914693667, ""b"": -6951.269531236649, ""c"": -1864910.8095987085}"
97,"{""a"": 39928.91068877696, ""b"": -28137.26473704033, ""c"": -1623469.0018337024}"
98,"{""a"": 44150.776810992335, ""b"": -40665.27432521588, ""c"": -1417649.948843703}"
99,"{""a"": 22238.165837999244, ""b"": -39089.43536911516, ""c"": 23401.18532163013}"
100,"{""a"": -36142.38281252397, ""b"": -829.6075995137217, ""c"": 2515829.3761035157}"
101,"{""a"": -41908.886718831636, ""b"": 29181.285511347538, ""c"": 1724618.3654847536}"
102,"{""a"": -43267.07652680516, ""b"": 16610.728870594176, ""c"": 2314954.083838782}"
103,"{""a"": -14661.834162216093, ""b"": -33866.17542601051, ""c"": 2348329.7411255916}"
104,"{""a"": -26615.438565198496, ""b"": -52388.165838109795, ""c"": 3901129.645754922}"
105,"{""a"": -48806.22336653255, ""b"": -21760.360440360513, ""c"": 4212723.677705651}"
106,"{""a"": 35865.84694592209, ""b"": -7700.736860665034, ""c"": -2154268.9621897456}"
107,"{""a"": 60499.63156943307, ""b"": 1014.5374645125266, ""c"": -4189609.0744799655}"
108,"{""a"": 46970.18821026718, ""b"": 11369.451349596842, ""c"": -3670530.560034566}"
109,"{""a"": 56459.459339373454, ""b"": 5257.657137837799, ""c"": -4080147.419899446}"
110,"{""a"": 11570.720880656301, ""b"": -25217.97762783882, ""c"": 206323.7956337719}"
111,"{""a"": 8423.996803913802, ""b"": -62852.743252677814, ""c"": 1910710.2864081524}"
112,"{""a"": 28597.092507086596, ""b"": -69048.03355812866, ""c"": 770892.1861262126}"
