id,param
4,"{""a"": -6913.494917852249, ""b"": -55051.82323527984, ""c"": 2655193.1092563113}"
7,"{""a"": -18794.482213632167, ""b"": -38607.94240603229, ""c"": 2819731.4909231775}"
11,"{""a"": 35553.4791744954, ""b"": 19501.228884685297, ""c"": -3210941.4421314853}"
14,"{""a"": -30227.44469574359, ""b"": 4887.9838246126965, ""c"": 1886362.163918469}"
16,"{""a"": 9074.307238610783, ""b"": -106698.60728051573, ""c"": 3600293.236720562}"
18,"{""a"": 34511.71621413239, ""b"": 9259.136604643449, ""c"": -2730875.566734158}"
20,"{""a"": -31437.60046716536, ""b"": -10790.914824186606, ""c"": 2588453.5410226355}"
21,"{""a"": 53801.50732386743, ""b"": -29968.328566039214, ""c"": -2504517.752667277}"
22,"{""a"": 8757.39411644119, ""b"": -25382.388817793388, ""c"": 405029.80208741094}"
23,"{""a"": 17340.878560891993, ""b"": 1891.8786798718575, ""c"": -1261563.8403394003}"
24,"{""a"": 25967.264375536764, ""b"": -30304.928264469192, ""c"": -582335.7383764832}"
27,"{""a"": 2841.0808392664603, ""b"": -30907.303103308866, ""c"": 1030090.4006204779}"
28,"{""a"": -6196.869314442577, ""b"": -13579.518237491757, ""c"": 965390.6833612844}"
29,"{""a"": 17709.89385373323, ""b"": -29009.06237800694, ""c"": -66670.52571587237}"
30,"{""a"": -26981.571762480013, ""b"": 6953.6785013927, ""c"": 1579357.5909267592}"
31,"{""a"": 9242.543558831068, ""b"": -56477.19636579582, ""c"": 1602409.2244394682}"
33,"{""a"": -48232.31844979007, ""b"": 37086.491825493125, ""c"": 1845852.4821320954}"
34,"{""a"": 39571.2785405345, ""b"": -29742.659461257805, ""c"": -1535435.761947042}"
35,"{""a"": -23945.55098368286, ""b"": -2047.292789905914, ""c"": 1726145.3997037688}"
38,"{""a"": 28336.62293142179, ""b"": -69457.67707222358, ""c"": 804984.4085566071}"
44,"{""a"": 8514.078941969037, ""b"": -36671.66592124762, ""c"": 868391.7115657342}"
51,"{""a"": 46732.52997891619, ""b"": 6069.75639439495, ""c"": -3444613.038393343}"
52,"{""a"": -43229.9672084183, ""b"": -10920.137612236285, ""c"": 3403298.2264860584}"
54,"{""a"": -28772.407070463934, ""b"": -28945.825345895355, ""c"": 3121125.6371293897}"
