id,param
1,"{""a"": -38302.45409106171, ""b"": 19204.46574907165, ""c"": 1871389.0533985498}"
3,"{""a"": 16349.813428306275, ""b"": -68811.75175209837, ""c"": 1602459.145257402}"
6,"{""a"": -20611.5618620394, ""b"": -81442.15026650176, ""c"": 4639625.657020737}"
8,"{""a"": 43665.90646109163, ""b"": 25543.5045962328, ""c"": -4002985.4402342956}"
9,"{""a"": -34549.70331538625, ""b"": -48926.25611862149, ""c"": 4309011.059952775}"
10,"{""a"": 40446.942998279694, ""b"": -53193.43420382061, ""c"": -669251.8547571757}"
11,"{""a"": -31269.022262748524, ""b"": 19747.379813845953, ""c"": 1369041.1425776852}"
12,"{""a"": 19130.804989068154, ""b"": -35627.04929224, ""c"": 97994.19521314476}"
13,"{""a"": 24851.570136052367, ""b"": -49862.11455251436, ""c"": 267902.5154675379}"
14,"{""a"": -44933.12290619635, ""b"": 25820.857985730545, ""c"": 2068799.7581965376}"
15,"{""a"": -18366.021321009448, ""b"": -25820.457871749262, ""c"": 2284490.266581133}"
16,"{""a"": -45297.223884057894, ""b"": -6630.102120189185, ""c"": 3373559.2862357567}"
17,"{""a"": 53171.02654096546, ""b"": -18489.05575562916, ""c"": -2915290.4758765684}"
18,"{""a"": 44979.455575856475, ""b"": -8728.395498472339, ""c"": -2739514.5381869907}"
20,"{""a"": -35759.481450559826, ""b"": -53337.56971561501, ""c"": 4565263.009464319}"
21,"{""a"": -19349.138847801885, ""b"": -1418.6640895478376, ""c"": 1386038.671284019}"
22,"{""a"": 36185.56054031718, ""b"": 24812.340619241666, ""c"": -3460783.8111063414}"
23,"{""a"": 9721.088835863691, ""b"": 14067.643006680919, ""c"": -1221002.1908418809}"
24,"{""a"": 8239.52263600797, ""b"": -66546.5339478268, ""c"": 2069570.1502176356}"
25,"{""a"": -4066.74582608554, ""b"": -50887.540410058486, ""c"": 2294881.0827273047}"
26,"{""a"": 2187.32235174135, ""b"": -55016.055480957, ""c"": 2028835.782750053}"
27,"{""a"": 46611.78866182351, ""b"": 25804.506824249474, ""c"": -4219918.322265139}"
28,"{""a"": 33822.80623711893, ""b"": 23949.471615557268, ""c"": -3267974.681493029}"
29,"{""a"": 19388.990331154408, ""b"": 7916.514451755753, ""c"": -1642175.911799154}"
30,"{""a"": -52297.69209060288, ""b"": 16897.276403068085, ""c"": 2927771.669229563}"
31,"{""a"": 11837.327250547176, ""b"": -22485.828237960806, ""c"": 78820.68465133746}"
32,"{""a"": 1887.1498025300345, ""b"": -29615.81365187246, ""c"": 1044565.023880865}"
33,"{""a"": 18083.282365320087, ""b"": -21592.84434774394, ""c"": -385747.76157973683}"
34,"{""a"": -40303.6446429205, ""b"": -42690.65212238874, ""c"": 4455795.465893858}"
35,"{""a"": 11236.585406943028, ""b"": 25311.06709232652, ""c"": -1769141.638318432}"
36,"{""a"": -20139.499044663713, ""b"": -65106.08638207886, ""c"": 3960056.4926575264}"
37,"{""a"": -4261.876989007436, ""b"": -67142.85042866274, ""c"": 2951149.4297975414}"
38,"{""a"": -34194.94918655974, ""b"": 33657.32703307189, ""c"": 1019768.1202071266}"
39,"{""a"": 37985.04275287186, ""b"": -22062.54954871726, ""c"": -1733827.4314712875}"
40,"{""a"": 20948.428720050077, ""b"": -15294.2404185649, ""c"": -831301.3335491925}"
41,"{""a"": 38029.342449299955, ""b"": 34848.34766144414, ""c"": -3984346.5093948706}"
42,"{""a"": 28585.066429883485, ""b"": -35398.898998110555, ""c"": -559150.755305056}"
43,"{""a"": 23955.44393702716, ""b"": -73693.66480415122, ""c"": 1273423.2609125809}"
45,"{""a"": -12675.045335487079, ""b"": -62847.1508253582, ""c"": 3358538.8777211937}"
46,"{""a"": -26977.87634029996, ""b"": -61227.77963580306, ""c"": 4277140.311425718}"
47,"{""a"": -10066.27841916086, ""b"": -62485.16582607336, ""c"": 3165681.46809925}"
48,"{""a"": -40511.18368929021, ""b"": 15963.09796423676, ""c"": 2153773.6355519574}"
49,"{""a"": 29632.836788009452, ""b"": 13718.266383257214, ""c"": -2572565.5767222}"
50,"{""a"": 37409.72801203852, ""b"": -27235.095566781478, ""c"": -1489342.5862589572}"
52,"{""a"": 31988.19996754449, ""b"": 15668.248234965002, ""c"": -2811272.064690702}"
53,"{""a"": -18832.42733981464, ""b"": -67288.74609917265, ""c"": 3956705.8820685367}"
54,"{""a"": 35042.256381894724, ""b"": -19368.584229700762, ""c"": -1636299.2873307085}"
55,"{""a"": 58299.36990392932, ""b"": -22069.924951586596, ""c"": -3125620.834656219}"
56,"{""a"": -4947.483714223973, ""b"": -62845.15609534017, ""c"": 2828326.3367686016}"
57,"{""a"": -39326.888213026956, ""b"": 31148.48984034412, ""c"": 1472881.5812190187}"
58,"{""a"": -30279.12932610984, ""b"": -62548.953022892136, ""c"": 4556056.826447269}"
59,"{""a"": -2569.6946550428247, ""b"": -40519.27623578048, ""c"": 1781838.9666243854}"
62,"{""a"": 43173.63656661564, ""b"": -5267.232786376291, ""c"": -2754539.546784969}"
63,"{""a"": 17732.282666945004, ""b"": -29352.80487075445, ""c"": -54625.54088970796}"
64,"{""a"": -20945.053718676478, ""b"": 47747.372395816565, ""c"": -448975.87851135456}"
65,"{""a"": -48966.89151512725, ""b"": 40510.57551861543, ""c"": 1759168.7028285014}"
66,"{""a"": 22630.19913973603, ""b"": 15838.124111101999, ""c"": -2176003.4085907796}"
67,"{""a"": 41489.80539334872, ""b"": 8886.992003347703, ""c"": -3194933.100444918}"
68,"{""a"": -14626.861459685424, ""b"": -72576.82574275599, ""c"": 3877631.6636283305}"
69,"{""a"": -45311.50047886488, ""b"": 27408.68497098233, ""c"": 2030311.1220051185}"
70,"{""a"": 34525.427617049245, ""b"": 24281.073575300878, ""c"": -3329361.129550825}"
71,"{""a"": -33247.226251471126, ""b"": 3653.1035177318117, ""c"": 2139854.88179368}"
72,"{""a"": -37262.86823891234, ""b"": 30690.447865876493, ""c"": 1348172.2959996979}"
73,"{""a"": 30574.057163970545, ""b"": -37855.125577640116, ""c"": -600135.9350180426}"
74,"{""a"": -49792.64549717583, ""b"": 27556.27397708557, ""c"": 2334023.1893987725}"
75,"{""a"": 11027.873964351927, ""b"": -27871.06012918569, ""c"": 347442.21784742153}"
76,"{""a"": -3982.486801509859, ""b"": -32883.02320280433, ""c"": 1577126.5244389935}"
77,"{""a"": -46964.64468743086, ""b"": 44085.57572236181, ""c"": 1482044.9254892985}"
78,"{""a"": 61961.21544291777, ""b"": -23547.641752042065, ""c"": -3318500.6856192565}"
79,"{""a"": 31787.84049561759, ""b"": -52086.893413467384, ""c"": -118955.06390713908}"
80,"{""a"": 43878.60548081233, ""b"": -43570.16243439507, ""c"": -1285817.9058169625}"
81,"{""a"": -26899.773437284377, ""b"": -58501.15145600319, ""c"": 4163950.3964965087}"
82,"{""a"": 2313.32555821952, ""b"": -34731.24950913473, ""c"": 1217593.3209072796}"
83,"{""a"": -2645.656513558238, ""b"": -40330.5352016103, ""c"": 1779345.5741403627}"
84,"{""a"": 38201.70621860864, ""b"": -34163.457434450625, ""c"": -1266645.4662025103}"
85,"{""a"": -50412.93154952775, ""b"": 39328.213491130984, ""c"": 1906810.9984681297}"
86,"{""a"": -42412.697298152176, ""b"": 6320.6304752389115, ""c"": 2665273.801064716}"
87,"{""a"": -34290.09562439015, ""b"": 28031.04837307839, ""c"": 1248893.0977917851}"
88,"{""a"": -42888.0921716352, ""b"": 23023.82535792455, ""c"": 2037319.48956574}"
89,"{""a"": -6694.777093088104, ""b"": -40132.03444603184, ""c"": 2049821.315572887}"
90,"{""a"": -12673.238542133953, ""b"": -36872.34684263485, ""c"": 2331780.479963122}"
91,"{""a"": 23520.691862093434, ""b"": -13189.186381446358, ""c"": -1091317.4721426438}"
92,"{""a"": -40203.08703690543, ""b"": 49079.10461972807, ""c"": 819176.7421283829}"
93,"{""a"": 13747.933438961656, ""b"": -31826.122287745256, ""c"": 318489.34956751595}"
94,"{""a"": -1568.874369231431, ""b"": -43898.38055630822, ""c"": 1847084.6821821781}"
95,"{""a"": 54283.150962165884, ""b"": -27214.384441154616, ""c"": -2646487.5508632166}"
96,"{""a"": 3321.0085396619947, ""b"": -54701.80612576374, ""c"": 1938123.124222005}"
97,"{""a"": 23109.39453960561, ""b"": -19485.060044343074, ""c"": -814508.4047019248}"
98,"{""a"": -44404.42451268118, ""b"": 48438.59966346726, ""c"": 1134185.8262165033}"
99,"{""a"": 42851.22185519025, ""b"": -3334.9011121224466, ""c"": -2804753.869796432}"
100,"{""a"": -26236.513429358125, ""b"": -22709.576459477525, ""c"": 2700571.283422766}"
102,"{""a"": 1903.4903902338554, ""b"": -51436.15604892711, ""c"": 1906826.3255695153}"
103,"{""a"": -4041.5137418201775, ""b"": -13824.346209015492, ""c"": 827263.7926374712}"
104,"{""a"": 60778.160529552166, ""b"": -25120.149053230998, ""c"": -3175113.048144087}"
105,"{""a"": 32104.324466225717, ""b"": -5705.551609748007, ""c"": -1976765.3652150268}"
106,"{""a"": 31423.84488310816, ""b"": -27335.355302632204, ""c"": -1074596.4605482733}"
107,"{""a"": 17720.674769583224, ""b"": -35900.83922457641, ""c"": 205154.75323650555}"
108,"{""a"": 22352.70474248286, ""b"": -36636.77763404018, ""c"": -81536.16882620976}"
109,"{""a"": -7867.267477775575, ""b"": -59512.886722089606, ""c"": 2896331.793486637}"
110,"{""a"": 44312.61782214822, ""b"": -11473.144074109223, ""c"": -2584800.013789226}"
111,"{""a"": 2899.9301035913227, ""b"": -13675.025714196812, ""c"": 344321.04472267063}"
112,"{""a"": -51878.10958621828, ""b"": -29315.629250755243, ""c"": 4726595.06078853}"
113,"{""a"": -4231.575847493784, ""b"": -46330.32566363605, ""c"": 2125797.9894479294}"
114,"{""a"": -15770.374370808138, ""b"": -8405.421193668637, ""c"": 1418313.7686322643}"
115,"{""a"": -560.9852247570404, ""b"": -33606.56052617284, ""c"": 1370631.9263695276}"
116,"{""a"": -43519.56193983682, ""b"": 30590.356837210158, ""c"": 1779403.8700853123}"
117,"{""a"": -46599.28066488291, ""b"": -16582.194093406964, ""c"": 3856494.731989494}"
118,"{""a"": 64825.1842669546, ""b"": -12866.88474262468, ""c"": -3937480.6181524596}"
119,"{""a"": -7200.195269579118, ""b"": -69575.37983227485, ""c"": 3249122.4432332176}"
120,"{""a"": -52527.88856563499, ""b"": -14229.964403753416, ""c"": 4172562.1911061546}"
121,"{""a"": 11405.183532809406, ""b"": -44951.86993908162, ""c"": 997483.0502172009}"
122,"{""a"": -38742.368573730666, ""b"": 5451.504505043733, ""c"": 2447998.7306854944}"
123,"{""a"": 25181.216992358677, ""b"": -17624.917195259222, ""c"": -1030256.1303805516}"
124,"{""a"": 37432.48176088108, ""b"": -43404.634709156984, ""c"": -848391.0145960982}"
125,"{""a"": -50093.27599097435, ""b"": 18045.69501514602, ""c"": 2726573.160898625}"
126,"{""a"": -50473.59012211405, ""b"": 23343.885120936277, ""c"": 2543140.842875778}"
128,"{""a"": 45919.40748002298, ""b"": 23214.12791518093, ""c"": -4066801.786831792}"
129,"{""a"": 39791.39997939397, ""b"": -47926.86347762891, ""c"": -832920.775056029}"
131,"{""a"": -54991.550851164095, ""b"": -17396.948124528222, ""c"": 4466952.72841785}"
132,"{""a"": 2674.408909640165, ""b"": -22719.048286310634, ""c"": 717707.1249122482}"
133,"{""a"": 42285.566339754, ""b"": -37443.805411917856, ""c"": -1417087.0283419243}"
134,"{""a"": 17086.96128603358, ""b"": -71331.34357412453, ""c"": 1651340.4115067595}"
135,"{""a"": -50152.65662009256, ""b"": -15733.49905775374, ""c"": 4068940.3844259894}"
136,"{""a"": 10309.428016331876, ""b"": -50953.13003000122, ""c"": 1309874.3796911824}"
137,"{""a"": -38987.09551146758, ""b"": 12855.79130633155, ""c"": 2168382.6149411215}"
138,"{""a"": 16515.053540797715, ""b"": -54086.941013367556, ""c"": 1009185.5912973728}"
139,"{""a"": 38682.76175067415, ""b"": 15028.743055602994, ""c"": -3245069.1072623944}"
140,"{""a"": -42440.11823153573, ""b"": -31071.385938511252, ""c"": 4145972.1273960904}"
141,"{""a"": 42029.57565102444, ""b"": 3730.8883271203085, ""c"": -3031715.888741042}"
142,"{""a"": 40552.28613901852, ""b"": -32530.61071291752, ""c"": -1496403.7132515414}"
143,"{""a"": -29914.618235281276, ""b"": -17145.48125017556, ""c"": 2732803.8646727502}"
144,"{""a"": 21106.32814893256, ""b"": -12568.966160693766, ""c"": -947954.0413541257}"
145,"{""a"": 12471.65776116447, ""b"": -67012.10810030063, ""c"": 1797204.8342388803}"
146,"{""a"": 13029.765027942229, ""b"": -55333.73659115689, ""c"": 1296079.6354124765}"
147,"{""a"": 51892.30518167758, ""b"": 31030.500360945705, ""c"": -4785874.78463322}"
148,"{""a"": -37755.12118986078, ""b"": -28020.039384737676, ""c"": 3703595.1071512224}"
149,"{""a"": -37336.2541832319, ""b"": -39290.11521838611, ""c"": 4120831.4056288023}"
150,"{""a"": -20775.42677072921, ""b"": -38200.5470051272, ""c"": 2940893.5219944}"
151,"{""a"": 31533.69989452152, ""b"": -20716.345110239403, ""c"": -1343923.1601291997}"
152,"{""a"": -50252.891815216215, ""b"": 2198.6022804891545, ""c"": 3368629.952352925}"
153,"{""a"": 49582.91441289888, ""b"": 14885.228456220473, ""c"": -3988875.376833503}"
154,"{""a"": 35906.48534111214, ""b"": -17816.64074024059, ""c"": -1758930.5093886189}"
155,"{""a"": 23863.802778551122, ""b"": -4641.808823826468, ""c"": -1453181.065501243}"
156,"{""a"": 11157.432580509494, ""b"": -18575.90068314904, ""c"": -29033.55438451035}"
157,"{""a"": 18057.21810619982, ""b"": -51221.91866020809, ""c"": 790125.5421821526}"
158,"{""a"": -27596.609340763127, ""b"": -20597.857429329386, ""c"": 2710341.0696636173}"
159,"{""a"": -42489.79039706124, ""b"": -28002.12677792854, ""c"": 4026106.3659902094}"
160,"{""a"": 52531.89797001333, ""b"": 18379.57116354136, ""c"": -4329468.003716977}"
161,"{""a"": -33777.705900345136, ""b"": -51401.90278480959, ""c"": 4355183.1047050785}"
162,"{""a"": -3124.3244266902702, ""b"": -18517.939577947116, ""c"": 949608.6873363927}"
163,"{""a"": -24133.914514946347, ""b"": -24091.52952034859, ""c"": 2613798.408757274}"
164,"{""a"": -36138.26350125113, ""b"": -21720.488894030786, ""c"": 3340602.716511545}"
165,"{""a"": 45257.20449564613, ""b"": 17470.294417941863, ""c"": -3792629.0453045783}"
166,"{""a"": -43206.770703058835, ""b"": -16308.89954971199, ""c"": 3612704.609977443}"
167,"{""a"": -57261.873990419, ""b"": -10206.803832333404, ""c"": 4336122.928913297}"
168,"{""a"": 28489.93668100145, ""b"": 12019.80324549089, ""c"": -2427684.312367848}"
169,"{""a"": 14964.061985098595, ""b"": -54256.830730724374, ""c"": 1120677.9062948178}"
170,"{""a"": -35507.65024597249, ""b"": 4923.758089374678, ""c"": 2247820.748633671}"
171,"{""a"": 45634.491092647164, ""b"": 9639.278330725909, ""c"": -3510451.94360314}"
172,"{""a"": -43617.66494428126, ""b"": -7290.586085064293, ""c"": 3286748.340683103}"
173,"{""a"": 43204.60166512194, ""b"": 21421.907606387584, ""c"": -3808077.5996721704}"
174,"{""a"": -57970.74523263518, ""b"": -16676.96707726187, ""c"": 4640247.98854184}"
175,"{""a"": 29469.185485737722, ""b"": 4392.690028264406, ""c"": -2193317.3193029766}"
176,"{""a"": -43585.910650171754, ""b"": -34551.72754882903, ""c"": 4362278.678671025}"
177,"{""a"": -14531.169600123765, ""b"": -54933.16539316237, ""c"": 3173183.612194748}"
178,"{""a"": 28553.429813681752, ""b"": -55150.10274477013, ""c"": 223230.04537815886}"
179,"{""a"": 47992.58712825466, ""b"": 17484.709861034105, ""c"": -3980859.290813122}"
180,"{""a"": 49406.26896866121, ""b"": 4380.1069923076575, ""c"": -3561327.358366397}"
181,"{""a"": -42821.71127949737, ""b"": -15866.549601698178, ""c"": 3570904.575649952}"
182,"{""a"": -57047.18482485655, ""b"": -5079.158836616058, ""c"": 4121623.6100725317}"
183,"{""a"": 24328.454430170143, ""b"": -2354.2788689090085, ""c"": -1575570.424680649}"
184,"{""a"": -6095.1678710188235, ""b"": -55901.704719039706, ""c"": 2631646.2938789576}"
185,"{""a"": -40488.40638307993, ""b"": -32525.34391962726, ""c"": 4067420.153757545}"
186,"{""a"": 32846.028306525935, ""b"": -42186.306650728184, ""c"": -582663.4076568849}"
187,"{""a"": 24823.943576326586, ""b"": 24177.96128749722, ""c"": -2656830.907837119}"
189,"{""a"": -12140.410700626853, ""b"": -61813.17800576542, ""c"": 3281220.8439307087}"
190,"{""a"": -53891.10972698508, ""b"": -2732.310239967468, ""c"": 3811570.310073898}"
191,"{""a"": 36791.91532333428, ""b"": -14675.43422358069, ""c"": -1943963.7997543437}"
192,"{""a"": 30500.334011202856, ""b"": -46207.156998644175, ""c"": -264897.47069609904}"
193,"{""a"": -9379.216734587966, ""b"": -38512.049011963296, ""c"": 2170595.820097864}"
194,"{""a"": 39888.310669874554, ""b"": -25105.92627473196, ""c"": -1740532.9004252574}"
196,"{""a"": -23774.412882471675, ""b"": -43282.8297931869, ""c"": 3345253.6930860733}"
198,"{""a"": -26020.600260367963, ""b"": -45787.89591920465, ""c"": 3601401.8682485945}"
201,"{""a"": 7033.50549688728, ""b"": -25447.651481051067, ""c"": 525967.3134054374}"
203,"{""a"": 39969.40603017163, ""b"": 7301.44463900476, ""c"": -3027744.745192474}"
204,"{""a"": -55348.9914924014, ""b"": 14644.862679383776, ""c"": 3222104.787233405}"
205,"{""a"": 55840.931402235525, ""b"": 8559.568620926293, ""c"": -4168264.697818755}"
207,"{""a"": -13012.486437555424, ""b"": -28955.705044799102, ""c"": 2041496.509038474}"
208,"{""a"": 20609.721214238743, ""b"": -7214.87129279464, ""c"": -1127821.6010947214}"
209,"{""a"": -41814.95125640354, ""b"": -13633.49597634538, ""c"": 3410244.2245691153}"
211,"{""a"": 28203.154648726133, ""b"": -50317.02525853044, ""c"": 55430.09480390237}"
212,"{""a"": 31698.27629427565, ""b"": -55216.79003603215, ""c"": 12524.533910799}"
213,"{""a"": 48980.488102155985, ""b"": 6330.715344412034, ""c"": -3607586.6419587866}"
214,"{""a"": -24604.751618303388, ""b"": -37532.04242454881, ""c"": 3175466.264388287}"
215,"{""a"": -39118.52769243029, ""b"": -13500.3253509184, ""c"": 3223090.119956758}"
