id,param
1,"{""X"": [[68.58624999999999, 39.55263888888889], [68.58319444444444, 39.55263888888889], [68.58319444444444, 39.55569444444445], [68.58624999999999, 39.55569444444445]], ""w"": [-1783147.7105137554, 1783147.7105044585, -1783147.7105133894, 1783147.7105226861], ""a"": [3828473.1687002275, -28176.53586672533, -47858.76242936495]}"
2,"{""X"": [[68.58930555555555, 39.55263888888889], [68.58624999999999, 39.55263888888889], [68.58624999999999, 39.55569444444445], [68.58930555555555, 39.55569444444445]], ""w"": [491783.32064829353, -491783.32064883184, 491783.32064789854, -491783.32064736035], ""a"": [5116806.820632136, -50120.1882098975, -42380.220170690576]}"
3,"{""X"": [[68.5923611111111, 39.55263888888889], [68.58930555555555, 39.55263888888889], [68.58930555555555, 39.55569444444445], [68.5923611111111, 39.55569444444445]], ""w"": [-6284805.13854895, 6284805.138545899, -6284805.13855119, 6284805.13855424], ""a"": [2375057.4857235844, -24319.615589738278, -17803.644353828022]}"
4,"{""X"": [[68.59541666666667, 39.55263888888889], [68.5923611111111, 39.55263888888889], [68.5923611111111, 39.55569444444445], [68.59541666666667, 39.55569444444445]], ""w"": [-2430750.9340101946, 2430750.934014333, -2430750.9340071566, 2430750.934003019], ""a"": [-3327296.536588548, 37492.34286236183, 19171.621981720753]}"
5,"{""X"": [[68.59847222222221, 39.55263888888889], [68.59541666666667, 39.55263888888889], [68.59541666666667, 39.55569444444445], [68.59847222222221, 39.55569444444445]], ""w"": [-948470.2022525048, 948470.2022476092, -948470.2022522743, 948470.2022571696], ""a"": [-1933733.110621197, 8909.992009894344, 33507.78142730408]}"
6,"{""X"": [[68.60152777777778, 39.55263888888889], [68.59847222222221, 39.55263888888889], [68.59847222222221, 39.55569444444445], [68.60152777777778, 39.55569444444445]], ""w"": [2256794.2610989874, -2256794.261092971, 2256794.261094304, -2256794.26110032], ""a"": [-2441357.0758302747, 19510.360440375774, 27957.28870766753]}"
7,"{""X"": [[68.60458333333332, 39.55263888888889], [68.60152777777778, 39.55263888888889], [68.60152777777778, 39.55569444444445], [68.60458333333332, 39.55569444444445]], ""w"": [-838528.9823223641, 838528.9823179181, -838528.982325629, 838528.9823300747], ""a"": [-3926174.412761739, 44623.66832388912, 21940.376420350265]}"
8,"{""X"": [[68.60763888888889, 39.55263888888889], [68.60458333333332, 39.55263888888889], [68.60458333333332, 39.55569444444445], [68.60763888888889, 39.55569444444445]], ""w"": [616753.7643074801, -616753.764306943, 616753.7643078746, -616753.7643084116], ""a"": [-3067422.924210352, 31563.80060326722, 22881.245561241318]}"
9,"{""X"": [[68.61069444444443, 39.55263888888889], [68.60763888888889, 39.55263888888889], [68.60763888888889, 39.55569444444445], [68.61069444444443, 39.55569444444445]], ""w"": [4740401.732049427, -4740401.7320434805, 4740401.732053797, -4740401.732059743], ""a"": [698728.7733167162, -10227.272726907038, 153.80859392484294]}"
10,"{""X"": [[68.61375, 39.55263888888889], [68.61069444444443, 39.55263888888889], [68.61069444444443, 39.55569444444445], [68.61375, 39.55569444444445]], ""w"": [3282793.0341568706, -3282793.0341677056, 3282793.034162152, -3282793.034151317], ""a"": [3614298.579979009, -33098.7304687852, -33884.153054496535]}"
11,"{""X"": [[68.61680555555554, 39.55263888888889], [68.61375, 39.55263888888889], [68.61375, 39.55569444444445], [68.61680555555554, 39.55569444444445]], ""w"": [524186.55303976324, -524186.5530427243, 524186.55303970206, -524186.55303674104], ""a"": [3375802.386859847, -20312.202592636753, -50035.05415491794]}"
12,"{""X"": [[68.6198611111111, 39.55263888888889], [68.61680555555554, 39.55263888888889], [68.61680555555554, 39.55569444444445], [68.6198611111111, 39.55569444444445]], ""w"": [1463400.0341857327, -1463400.034184738, 1463400.0341864633, -1463400.0341874578], ""a"": [2766497.333676955, -6571.621981665308, -58467.280717325724]}"
13,"{""X"": [[68.62291666666665, 39.55263888888889], [68.6198611111111, 39.55263888888889], [68.6198611111111, 39.55569444444445], [68.62291666666665, 39.55569444444445]], ""w"": [-3903417.106092769, 3903417.1060883687, -3903417.1060960023, 3903417.106100403], ""a"": [3175171.5398777723, -18494.185014540068, -48115.642755791545]}"
14,"{""X"": [[68.62597222222222, 39.55263888888889], [68.62291666666665, 39.55263888888889], [68.62291666666665, 39.55569444444445], [68.62597222222222, 39.55569444444445]], ""w"": [-2761695.1936592963, 2761695.193661474, -2761695.193657696, 2761695.193655518], ""a"": [3648350.5664074398, -41688.00159772668, -19839.271129364504]}"
15,"{""X"": [[68.62902777777778, 39.55263888888889], [68.62597222222222, 39.55263888888889], [68.62597222222222, 39.55569444444445], [68.62902777777778, 39.55569444444445]], ""w"": [-762940.2736486288, 762940.2736536216, -762940.2736449594, 762940.2736399672], ""a"": [3372000.4424207956, -46279.64754926813, -4886.199396220354]}"
16,"{""X"": [[68.63208333333333, 39.55263888888889], [68.62902777777778, 39.55263888888889], [68.62902777777778, 39.55569444444445], [68.63208333333333, 39.55569444444445]], ""w"": [1689798.9042654592, -1689798.9042586072, 1689798.9042636778, -1689798.9042705295], ""a"": [-48952.42747067009, 5833.6603339609455, -8818.346058018724]}"
17,"{""X"": [[68.63513888888889, 39.55263888888889], [68.63208333333333, 39.55263888888889], [68.63208333333333, 39.55569444444445], [68.63513888888889, 39.55569444444445]], ""w"": [2633268.7820488317, -2633268.7820478682, 2633268.78204954, -2633268.7820505034], ""a"": [-2798068.1779587204, 56459.45933942525, -27158.7224786628]}"
18,"{""X"": [[68.63819444444444, 39.55263888888889], [68.63513888888889, 39.55263888888889], [68.63513888888889, 39.55569444444445], [68.63819444444444, 39.55569444444445]], ""w"": [2585431.403253676, -2585431.403254414, 2585431.4032531325, -2585431.4032523944], ""a"": [-759682.5178207448, 39519.81977990726, -49298.77041906711]}"
19,"{""X"": [[68.64125, 39.55263888888889], [68.63819444444444, 39.55263888888889], [68.63819444444444, 39.55569444444445], [68.64125, 39.55569444444445]], ""w"": [-359486.6013058101, 359486.6013100411, -359486.60130124824, 359486.6012970176], ""a"": [1663071.8923492592, 9664.333274308825, -58742.21857240751]}"
20,"{""X"": [[68.64430555555555, 39.55263888888889], [68.64125, 39.55263888888889], [68.64125, 39.55569444444445], [68.64430555555555, 39.55569444444445]], ""w"": [-950005.1418109548, 950005.1418172916, -950005.1418062947, 950005.1417999583], ""a"": [3433336.892935864, -19327.068536372797, -53186.77201724029]}"
21,"{""X"": [[68.64736111111111, 39.55263888888889], [68.64430555555555, 39.55263888888889], [68.64430555555555, 39.55569444444445], [68.64736111111111, 39.55569444444445]], ""w"": [-3742568.6283151438, 3742568.628312854, -3742568.6283168276, 3742568.628319117], ""a"": [-1190972.2419592333, 36567.81338738901, -33278.78639932326]}"
22,"{""X"": [[68.65041666666666, 39.55263888888889], [68.64736111111111, 39.55263888888889], [68.64736111111111, 39.55569444444445], [68.65041666666666, 39.55569444444445]], ""w"": [2669900.1606684634, -2669900.1606660485, 2669900.1606702404, -2669900.1606726553], ""a"": [-172278.02801008182, 19106.18341639624, -28728.049538271367]}"
23,"{""X"": [[68.65347222222222, 39.55263888888889], [68.65041666666666, 39.55263888888889], [68.65041666666666, 39.55569444444445], [68.65347222222222, 39.55569444444445]], ""w"": [3315582.3554910724, -3315582.355491715, 3315582.3554905998, -3315582.355489957], ""a"": [-7932.675473169432, 31342.915483019005, -54121.12926140868]}"
24,"{""X"": [[68.65652777777777, 39.55263888888889], [68.65347222222222, 39.55263888888889], [68.65347222222222, 39.55569444444445], [68.65652777777777, 39.55569444444445]], ""w"": [-3924623.7551346817, 3924623.7551255734, -3924623.7551413816, 3924623.755150489], ""a"": [1708123.3995135557, 4858.354047834909, -51537.30468781319]}"
25,"{""X"": [[68.65958333333333, 39.55263888888889], [68.65652777777777, 39.55263888888889], [68.65652777777777, 39.55569444444445], [68.65958333333333, 39.55569444444445]], ""w"": [1835608.7412351056, -1835608.7412379165, 1835608.7412330373, -1835608.7412302264], ""a"": [4813366.840814088, -45476.16743604148, -42674.773615105805]}"
26,"{""X"": [[68.66263888888888, 39.55263888888889], [68.65958333333333, 39.55263888888889], [68.65958333333333, 39.55569444444445], [68.66263888888888, 39.55569444444445]], ""w"": [-138483.56143696327, 138483.56143802576, -138483.56143618142, 138483.561435119], ""a"": [3490848.983022345, -22066.379616801154, -49874.73366480238]}"
27,"{""X"": [[68.66569444444444, 39.55263888888889], [68.66263888888888, 39.55263888888889], [68.66263888888888, 39.55569444444445], [68.66569444444444, 39.55569444444445]], ""w"": [1179520.9749969325, -1179520.9749931172, 1179520.974994979, -1179520.9749987943], ""a"": [3069037.152940852, -13378.910688619026, -54291.27752135482]}"
28,"{""X"": [[68.66874999999999, 39.55263888888889], [68.66569444444444, 39.55263888888889], [68.66569444444444, 39.55569444444445], [68.66874999999999, 39.55569444444445]], ""w"": [-3489162.3561604144, 3489162.3561639446, -3489162.3561578155, 3489162.3561542854], ""a"": [2534269.2346039983, -11235.258344966529, -44492.751242728635]}"
29,"{""X"": [[68.67180555555555, 39.55263888888889], [68.66874999999999, 39.55263888888889], [68.66874999999999, 39.55569444444445], [68.67180555555555, 39.55569444444445]], ""w"": [-7139917.11775944, 7139917.117769179, -7139917.117752273, 7139917.117742535], ""a"": [1364054.6558559833, -20168.18181760158, 600.5326707112844]}"
30,"{""X"": [[68.6748611111111, 39.55263888888889], [68.67180555555555, 39.55263888888889], [68.67180555555555, 39.55569444444445], [68.6748611111111, 39.55569444444445]], ""w"": [1716796.889505609, -1716796.8895046783, 1716796.8895062935, -1716796.889507224], ""a"": [697195.1665320473, -23709.295099611667, 23607.821378002816]}"
31,"{""X"": [[68.67791666666666, 39.55263888888889], [68.6748611111111, 39.55263888888889], [68.6748611111111, 39.55569444444445], [68.67791666666666, 39.55569444444445]], ""w"": [3950858.978903973, -3950858.978902156, 3950858.9789053127, -3950858.97890713], ""a"": [1317871.0339045315, -18898.322088028828, -436.89630666351445]}"
32,"{""X"": [[68.68097222222221, 39.55263888888889], [68.67791666666666, 39.55263888888889], [68.67791666666666, 39.55569444444445], [68.68097222222221, 39.55569444444445]], ""w"": [1132446.357544917, -1132446.3575455283, 1132446.3575444673, -1132446.3575438561], ""a"": [-169918.51461764798, 15185.422585285012, -22002.539062536984]}"
33,"{""X"": [[68.68402777777777, 39.55263888888889], [68.68097222222221, 39.55263888888889], [68.68097222222221, 39.55569444444445], [68.68402777777777, 39.55569444444445]], ""w"": [-3634567.2706676377, 3634567.270667008, -3634567.2706681006, 3634567.2706687297], ""a"": [775597.0135400106, -4694.717684656022, -11387.428977311005]}"
34,"{""X"": [[68.68708333333332, 39.55263888888889], [68.68402777777777, 39.55263888888889], [68.68402777777777, 39.55569444444445], [68.68708333333332, 39.55569444444445]], ""w"": [2144178.668157054, -2144178.6681594825, 2144178.668155265, -2144178.6681528366], ""a"": [3156596.4465653966, -43001.96644186772, -5064.53746469702]}"
35,"{""X"": [[68.69013888888888, 39.55263888888889], [68.68708333333332, 39.55263888888889], [68.68708333333332, 39.55569444444445], [68.69013888888888, 39.55569444444445]], ""w"": [1372753.8513928056, -1372753.8513863676, 1372753.851392004, -1372753.8513984417], ""a"": [-1266817.6457144145, 29989.599609511344, -19984.92986469954]}"
36,"{""X"": [[68.69319444444444, 39.55263888888889], [68.69013888888888, 39.55263888888889], [68.69013888888888, 39.55569444444445], [68.69319444444444, 39.55569444444445]], ""w"": [129980.18488213055, -129980.18488022835, 129980.1848835317, -129980.18488543374], ""a"": [-675423.4379124485, 25051.105291374315, -26360.19620041164]}"
37,"{""X"": [[68.69624999999999, 39.55263888888889], [68.69319444444444, 39.55263888888889], [68.69319444444444, 39.55569444444445], [68.69624999999999, 39.55569444444445]], ""w"": [-5602858.820532381, 5602858.820523299, -5602858.820516443, 5602858.820525524], ""a"": [-947351.5753300304, 15640.336470466193, -3141.8101920954987]}"
38,"{""X"": [[68.69930555555555, 39.55263888888889], [68.69624999999999, 39.55263888888889], [68.69624999999999, 39.55569444444445], [68.69930555555555, 39.55569444444445]], ""w"": [-268068.2405429758, 268068.2405419351, -268068.24054374255, 268068.2405447832], ""a"": [-3417384.988309243, 37255.11807499184, 21765.27432523686]}"
39,"{""X"": [[68.7023611111111, 39.55263888888889], [68.69930555555555, 39.55263888888889], [68.69930555555555, 39.55569444444445], [68.7023611111111, 39.55569444444445]], ""w"": [708934.8865678575, -708934.8865613581, 708934.8865726466, -708934.8865791453], ""a"": [-2833139.5049735787, 29827.60120753414, 19894.92187507415]}"
40,"{""X"": [[68.70541666666666, 39.55263888888889], [68.7023611111111, 39.55263888888889], [68.7023611111111, 39.55569444444445], [68.70541666666666, 39.55569444444445]], ""w"": [-1159058.2536925673, 1159058.253687398, -1159058.2536963767, 1159058.2537015455], ""a"": [159208.17180026477, -14827.068537201598, 21804.545454378447]}"
41,"{""X"": [[68.70847222222221, 39.55263888888889], [68.70541666666666, 39.55263888888889], [68.70541666666666, 39.55569444444445], [68.70847222222221, 39.55569444444445]], ""w"": [536136.4808780935, -536136.48087652, 536136.4808814187, -536136.4808829919], ""a"": [2138064.166929918, -45150.53267041272, 24447.25674697735]}"
42,"{""X"": [[68.71152777777777, 39.55263888888889], [68.70847222222221, 39.55263888888889], [68.70847222222221, 39.55569444444445], [68.71152777777777, 39.55569444444445]], ""w"": [5290814.092094693, -5290814.092093374, 5290814.092095667, -5290814.092096986], ""a"": [1440966.4973498909, -20773.668323709928, -273.25994322252444]}"
43,"{""X"": [[68.71458333333332, 39.55263888888889], [68.71152777777777, 39.55263888888889], [68.71152777777777, 39.55569444444445], [68.71458333333332, 39.55569444444445]], ""w"": [410789.3649652263, -410789.3649661241, 410789.36496622406, -410789.36496532627], ""a"": [-94552.161606326, 15498.033558274632, -24461.998402003683]}"
44,"{""X"": [[68.71763888888889, 39.55263888888889], [68.71458333333332, 39.55263888888889], [68.71458333333332, 39.55569444444445], [68.71763888888889, 39.55569444444445]], ""w"": [-809223.8794163249, 809223.8794162022, -809223.8794164155, 809223.8794165382], ""a"": [967848.1721194565, -936.0351562960716, -22771.661931746126]}"
45,"{""X"": [[68.72069444444443, 39.55263888888889], [68.71763888888889, 39.55263888888889], [68.71763888888889, 39.55569444444445], [68.72069444444443, 39.55569444444445]], ""w"": [240674.7493601972, -240674.7493591502, 240674.74936096926, -240674.74936201618], ""a"": [-9372.337414177839, 11896.395596608232, -20359.62357955692]}"
46,"{""X"": [[68.72208333333333, 39.55263888888889], [68.72069444444443, 39.55263888888889], [68.72069444444443, 39.55569444444445], [68.72208333333333, 39.55569444444445]], ""w"": [1746917.3317228537, -1746917.3317264358, 1746917.331728271, -1746917.3317246889], ""a"": [-835148.4121215476, 26204.326171540415, -24340.869140661787]}"
47,"{""X"": [[68.58624999999999, 39.54958333333334], [68.58319444444444, 39.54958333333334], [68.58319444444444, 39.55263888888889], [68.58624999999999, 39.55263888888889]], ""w"": [1770416.1877487719, -1770416.1877495742, 1770416.1877481828, -1770416.1877473805], ""a"": [-72210.35230102368, -28230.548650664354, 50854.95383498716]}"
48,"{""X"": [[68.58930555555555, 39.54958333333334], [68.58624999999999, 39.54958333333334], [68.58624999999999, 39.55263888888889], [68.58930555555555, 39.55263888888889]], ""w"": [4087788.767230281, -4087788.7672354253, 4087788.7672265046, -4087788.767221361], ""a"": [1079552.5240719058, -30691.606001697368, 26001.842152000947]}"
49,"{""X"": [[68.5923611111111, 39.54958333333334], [68.58930555555555, 39.54958333333334], [68.58930555555555, 39.55263888888889], [68.5923611111111, 39.55263888888889]], ""w"": [4861134.612586899, -4861134.612581013, 4861134.612571617, -4861134.612577504], ""a"": [2558341.178470635, -30359.459339819277, -11963.472123524054]}"
50,"{""X"": [[68.59541666666667, 39.54958333333334], [68.5923611111111, 39.54958333333334], [68.5923611111111, 39.55263888888889], [68.59541666666667, 39.55263888888889]], ""w"": [-4884667.212900633, 4884667.212899342, -4884667.21290158, 4884667.212902871], ""a"": [29058.89215313409, 6457.084516965104, -11863.63636369432]}"
51,"{""X"": [[68.59847222222221, 39.54958333333334], [68.59541666666667, 39.54958333333334], [68.59541666666667, 39.55263888888889], [68.59847222222221, 39.55263888888889]], ""w"": [3693582.399150005, -3693582.399151688, 3693582.3991487687, -3693582.399147086], ""a"": [-1137916.8465675882, 20555.97922568068, -6810.52468054947]}"
52,"{""X"": [[68.60152777777778, 39.54958333333334], [68.59847222222221, 39.54958333333334], [68.59847222222221, 39.55263888888889], [68.60152777777778, 39.55263888888889]], ""w"": [-1856043.2122634572, 1856043.2122630668, -1856043.2122637436, 1856043.2122641339], ""a"": [-874490.6999230783, 21210.524680383125, -14606.183416176702]}"
53,"{""X"": [[68.60458333333332, 39.54958333333334], [68.60152777777778, 39.54958333333334], [68.60152777777778, 39.55263888888889], [68.60458333333332, 39.55263888888889]], ""w"": [-521493.34615785565, 521493.34615916066, -521493.3461568971, 521493.3461555921], ""a"": [-2483784.636894556, 38853.84854407604, -4519.615589465355]}"
54,"{""X"": [[68.60763888888889, 39.54958333333334], [68.60458333333332, 39.54958333333334], [68.60458333333332, 39.55263888888889], [68.60763888888889, 39.55263888888889]], ""w"": [86022.53064667057, -86022.53064438688, 86022.53064834817, -86022.5306506317], ""a"": [-2261266.926965975, 34545.29030531545, -2672.1546520541115]}"
55,"{""X"": [[68.61069444444443, 39.54958333333334], [68.60763888888889, 39.54958333333334], [68.60763888888889, 39.55263888888889], [68.61069444444443, 39.55263888888889]], ""w"": [2730845.734592529, -2730845.7345938445, 2730845.7345915623, -2730845.734590247], ""a"": [-891487.2828817688, 21469.08291901157, -14622.563032759901]}"
56,"{""X"": [[68.61375, 39.54958333333334], [68.61069444444443, 39.54958333333334], [68.61069444444443, 39.55263888888889], [68.61375, 39.55263888888889]], ""w"": [1234279.7067638705, -1234279.7067633828, 1234279.706764229, -1234279.706764717], ""a"": [2202953.8146280283, -13935.29829540903, -31444.389204557327]}"
57,"{""X"": [[68.61680555555554, 39.54958333333334], [68.61375, 39.54958333333334], [68.61375, 39.55263888888889], [68.61680555555554, 39.55263888888889]], ""w"": [-2504814.1198973227, 2504814.119896188, -2504814.11990826, 2504814.119909394], ""a"": [3003850.8148125457, -28714.905895402928, -26054.216974486306]}"
58,"{""X"": [[68.6198611111111, 39.54958333333334], [68.61680555555554, 39.54958333333334], [68.61680555555554, 39.55263888888889], [68.6198611111111, 39.55263888888889]], ""w"": [-6840613.32897521, 6840613.328969386, -6840613.328979488, 6840613.328985311], ""a"": [1481671.2841719296, -29384.153054223745, 13593.243962850192]}"
59,"{""X"": [[68.62291666666665, 39.54958333333334], [68.6198611111111, 39.54958333333334], [68.6198611111111, 39.55263888888889], [68.62291666666665, 39.55263888888889]], ""w"": [-1761545.5555816072, 1761545.5555873262, -1761545.5555774046, 1761545.555571686], ""a"": [940178.7757872603, -42527.47691759676, 50087.42897759652]}"
60,"{""X"": [[68.62597222222222, 39.54958333333334], [68.62291666666665, 39.54958333333334], [68.62291666666665, 39.55263888888889], [68.62597222222222, 39.55263888888889]], ""w"": [5139231.752378813, -5139231.7523872405, 5139231.75237262, -5139231.752364193], ""a"": [757155.309934948, -31601.43377176691, 35757.78142741292]}"
61,"{""X"": [[68.62902777777778, 39.54958333333334], [68.62597222222222, 39.54958333333334], [68.62597222222222, 39.55263888888889], [68.62902777777778, 39.55263888888889]], ""w"": [1711401.059162538, -1711401.0591656337, 1711401.0591602628, -1711401.0591571673], ""a"": [2637816.3559553917, -42255.85493612295, 6694.349254237844]}"
62,"{""X"": [[68.63208333333333, 39.54958333333334], [68.62902777777778, 39.54958333333334], [68.62902777777778, 39.55263888888889], [68.63208333333333, 39.55263888888889]], ""w"": [2723905.54792931, -2723905.5479272483, 2723905.547930825, -2723905.547932886], ""a"": [-1203376.6449854989, 24558.558238763137, -12122.194602230846]}"
