id,param
1,"{""a"": -20798.630859342695, ""b"": -10679.748046888544, ""c"": 1851756.142388457}"
2,"{""a"": 15163.910156283531, ""b"": -8421.820312531669, ""c"": -704225.6001817117}"
3,"{""a"": 24292.089843796293, ""b"": 9663.117187478376, ""c"": -2045691.5697630623}"
4,"{""a"": 20499.117187478736, ""b"": -12874.324218700058, ""c"": -894072.47747122}"
5,"{""a"": -39893.044921927525, ""b"": -24881.044921820365, ""c"": 3724384.964867167}"
6,"{""a"": -18650.16210937322, ""b"": -11212.576171907047, ""c"": 1726124.288841478}"
7,"{""a"": -18258.46875000459, ""b"": -12125.531249989024, ""c"": 1735353.7885838654}"
8,"{""a"": 48452.396484276425, ""b"": -33487.92773429051, ""c"": -1998203.08967187}"
9,"{""a"": 9496.07226561732, ""b"": -50482.81054686148, ""c"": 1347895.6909350513}"
10,"{""a"": 25428.251953118015, ""b"": -55626.486328097315, ""c"": 457663.9598113967}"
11,"{""a"": -18935.29687496502, ""b"": -50631.117187500844, ""c"": 3305760.7070044684}"
12,"{""a"": -31901.027343771377, ""b"": -28289.531249923028, ""c"": 3312322.9868050637}"
13,"{""a"": -3254.3964843857557, ""b"": -12411.369140609293, ""c"": 717241.7169312695}"
14,"{""a"": -19113.1347656949, ""b"": -13223.513671810677, ""c"": 1838438.4607468843}"
15,"{""a"": -8505.3515625208, ""b"": -21108.234374971253, ""c"": 1421749.7158547833}"
16,"{""a"": 27887.765624948537, ""b"": -27546.468749928456, ""c"": -823350.9896428501}"
17,"{""a"": 22952.16210940561, ""b"": -15858.720703129133, ""c"": -946579.5416694194}"
18,"{""a"": -20730.23437499663, ""b"": 167.02734371904808, ""c"": 1420601.7517783358}"
19,"{""a"": 2768.3789062015867, ""b"": -12440.88281249816, ""c"": 304725.32553548046}"
20,"{""a"": 3643.927734392696, ""b"": -24696.72070312992, ""c"": 729307.4899721233}"
21,"{""a"": -2878.558593728962, ""b"": -32189.76562502732, ""c"": 1473372.4269576455}"
22,"{""a"": -12787.207031262036, ""b"": -24416.64843750242, ""c"": 1845617.9211093197}"
23,"{""a"": 21282.503906265767, ""b"": -11540.882812515643, ""c"": -1000640.6074565172}"
24,"{""a"": 39177.35156238919, ""b"": -4672.089843672569, ""c"": -2499927.559087257}"
25,"{""a"": -41386.32421879893, ""b"": -9850.324218724098, ""c"": 3232399.2788158096}"
26,"{""a"": -27544.32421874455, ""b"": -13131.351562546042, ""c"": 2412339.2140200017}"
27,"{""a"": -18200.144531243863, ""b"": -3382.5585937606156, ""c"": 1385577.4548193342}"
28,"{""a"": 52448.396484224046, ""b"": 13925.513671914436, ""c"": -4147612.0004819212}"
29,"{""a"": 20989.423828049734, ""b"": 15431.044921862114, ""c"": -2047844.0925602424}"
30,"{""a"": 33302.162109319754, ""b"": 1207.4589844070579, ""c"": -2330584.9054979635}"
31,"{""a"": -17760.23437500839, ""b"": -12836.882812507967, ""c"": 1730370.758706946}"
32,"{""a"": -33899.7480469881, ""b"": -34354.81054678385, ""c"": 3689435.4720817967}"
33,"{""a"": -6477.855468811037, ""b"": -45010.792968739224, ""c"": 2227863.1085145073}"
34,"{""a"": -34595.27929696797, ""b"": -25493.044921727073, ""c"": 3386949.464622116}"
35,"{""a"": 4658.396484373701, ""b"": -15289.927734375668, ""c"": 287505.5528882991}"
36,"{""a"": 35908.55859372281, ""b"": -30036.23437497919, ""c"": -1275838.8243983698}"
37,"{""a"": 7407.369140619701, ""b"": -34199.9824218712, ""c"": 846687.1657008977}"
38,"{""a"": -27668.144531262664, ""b"": -27743.027343786594, ""c"": 3001076.717189817}"
39,"{""a"": 15080.378906274493, ""b"": -20509.207031304923, ""c"": -222160.5770209948}"
40,"{""a"": 6644.1621093619915, ""b"": -23565.60351563253, ""c"": 478401.2798473834}"
41,"{""a"": -17472.95507819331, ""b"": -48231.36914063318, ""c"": 3108667.400852177}"
42,"{""a"": -26895.603515675983, ""b"": -27301.693359374374, ""c"": 2927443.6682822807}"
43,"{""a"": 32488.558593745038, ""b"": -37275.11718753048, ""c"": -751804.0928256013}"
44,"{""a"": 33507.36914055339, ""b"": -49679.98242181012, ""c"": -331230.9032911104}"
45,"{""a"": -31938.48632813457, ""b"": -48279.603515616625, ""c"": 4103704.2203445635}"
46,"{""a"": -38460.25195310119, ""b"": -43530.486328215346, ""c"": 4363442.012123521}"
47,"{""a"": -28526.378906231454, ""b"": -32037.117187535117, ""c"": 3227302.693779412}"
48,"{""a"": 22063.675781184767, ""b"": -8634.234374979555, ""c"": -1170095.0841760181}"
49,"{""a"": 22803.820312394728, ""b"": 18430.558593759808, ""c"": -2290994.485613279}"
50,"{""a"": 24782.396484331122, ""b"": 39359.51367190326, ""c"": -3254311.2231450775}"
51,"{""a"": 14181.134765645807, ""b"": 29982.251953130726, ""c"": -2155745.331014839}"
52,"{""a"": 5278.324218694897, ""b"": -19619.261718763566, ""c"": 416679.11303166405}"
53,"{""a"": -19921.693359453457, ""b"": -34697.513671832654, ""c"": 2743245.771866506}"
54,"{""a"": -35614.07226574022, ""b"": -39752.63085930507, ""c"": 4020766.827185323}"
55,"{""a"": 2676.2343749489287, ""b"": -46954.79296873401, ""c"": 1675734.0990116647}"
56,"{""a"": 38738.88281245262, ""b"": -33056.64843745131, ""c"": -1350823.5280308959}"
57,"{""a"": 18238.324218767593, ""b"": -42554.179687513824, ""c"": 432964.6644719944}"
58,"{""a"": -33580.79296872505, ""b"": -53929.44140634291, ""c"": 4442761.678742194}"
59,"{""a"": -15045.837890588125, ""b"": -25124.39648436843, ""c"": 2030354.9134078508}"
60,"{""a"": 26879.02734377411, ""b"": -12176.648437547228, ""c"": -1362450.4022605305}"
61,"{""a"": 5592.234375049817, ""b"": -880.5585937042415, ""c"": -345304.778252296}"
62,"{""a"": -20232.720703147497, ""b"": -51538.30664065217, ""c"": 3428603.6156398244}"
63,"{""a"": 18751.675781269983, ""b"": -34490.8828125389, ""c"": 80479.38039567534}"
64,"{""a"": 34436.16210928875, ""b"": -9277.927734305791, ""c"": -1992242.6875676191}"
65,"{""a"": -28398.955078159204, ""b"": -15146.630859360848, ""c"": 2550933.77787044}"
66,"{""a"": -38720.16210936198, ""b"": -23175.36914068625, ""c"": 3576540.6771231107}"
67,"{""a"": -38674.07226561506, ""b"": -24261.134765633156, ""c"": 3616299.5911593074}"
68,"{""a"": 22272.46875001441, ""b"": -37725.117187496966, ""c"": -34321.635997201985}"
69,"{""a"": 13866.468749998157, ""b"": -56061.35156249143, ""c"": 1267512.5083396328}"
70,"{""a"": 5902.558593745073, ""b"": -49173.11718753236, ""c"": 1541899.1796744703}"
71,"{""a"": 18437.7656250227, ""b"": -25172.648437520624, ""c"": -267447.7257136328}"
72,"{""a"": 26624.88281256373, ""b"": -1174.3242188254371, ""c"": -1778258.8678822524}"
73,"{""a"": -19950.48632822096, ""b"": -7413.837890598155, ""c"": 1666566.6524200786}"
74,"{""a"": -10992.955078156629, ""b"": -26951.044921855806, ""c"": 1823754.8078944795}"
75,"{""a"": -467.2792969000097, ""b"": -41226.48632811096, ""c"": 1665175.0353307524}"
76,"{""a"": 23265.36914060902, ""b"": -36507.60351559704, ""c"": -151501.94960205862}"
77,"{""a"": 34835.765625050306, ""b"": -28134.000000044063, ""c"": -1277342.4780778852}"
78,"{""a"": -36418.32421873016, ""b"": -30518.648437571253, ""c"": 3712171.026549304}"
79,"{""a"": -32555.51367200987, ""b"": -38976.4863280366, ""c"": 3781114.3672103626}"
80,"{""a"": 30665.513671939847, ""b"": -38201.04492194356, ""c"": -593781.5832121931}"
81,"{""a"": 17795.51367184866, ""b"": -24619.65820313131, ""c"": -243929.8765189401}"
82,"{""a"": 11296.089843753163, ""b"": -17694.000000009946, ""c"": -71866.2863425974}"
83,"{""a"": -6132.955078147961, ""b"": -41385.603515646835, ""c"": 2060112.8275390589}"
84,"{""a"": 26100.703124930063, ""b"": -33378.46874997534, ""c"": -467723.5084092628}"
85,"{""a"": -22543.910156257396, ""b"": -25029.351562503034, ""c"": 2539836.4837506274}"
86,"{""a"": -38057.02734376831, ""b"": -23518.792968789545, ""c"": 3544610.2769461796}"
87,"{""a"": -31248.720703139166, ""b"": -30521.513671882843, ""c"": 3354169.8247205205}"
88,"{""a"": 41464.79296867728, ""b"": -43675.20703124738, ""c"": -1116397.484443355}"
89,"{""a"": 9863.26171879953, ""b"": -40528.0898437937, ""c"": 928304.0601985231}"
90,"{""a"": 11692.089843786454, ""b"": -49202.648437512675, ""c"": 1145619.9927567872}"
91,"{""a"": -3936.955078100731, ""b"": -56617.9277344444, ""c"": 2511679.9645689484}"
92,"{""a"": 9768.234375090204, ""b"": -41384.8828126011, ""c"": 968609.7294753424}"
93,"{""a"": 1942.5585936794853, ""b"": -40181.76562497895, ""c"": 1458419.1744571354}"
94,"{""a"": -4686.468750026622, ""b"": -48844.08984369101, ""c"": 2256031.051947738}"
95,"{""a"": 8053.910156209741, ""b"": -49396.324218709495, ""c"": 1402843.2770519454}"
96,"{""a"": 5780.162109354166, ""b"": -45151.18945310763, ""c"": 1391234.437019787}"
97,"{""a"": 25024.324218759004, ""b"": -26228.144531222817, ""c"": -678652.7528190748}"
98,"{""a"": -34588.792968731206, ""b"": -15861.585937555574, ""c"": 3007110.4451425076}"
99,"{""a"": -9773.279296979794, ""b"": -32015.513671853812, ""c"": 1940556.3258388827}"
100,"{""a"": 6411.6035156588905, ""b"": -31319.27929687876, ""c"": 800891.5785940116}"
101,"{""a"": 16705.44140629543, ""b"": -21774.269531209247, ""c"": -281617.98006332014}"
102,"{""a"": 6745.693359401989, ""b"": -23059.458984403194, ""c"": 452309.9959880325}"
103,"{""a"": 8115.099609372066, ""b"": -9065.513671872013, ""c"": -194633.01254630342}"
104,"{""a"": 19929.603515594754, ""b"": -25149.60351555606, ""c"": -369552.5463116847}"
105,"{""a"": -31109.044921921308, ""b"": -18762.486328069703, ""c"": 2879855.840438004}"
106,"{""a"": -37038.95507810417, ""b"": -12725.982421917506, ""c"": 3048206.378264411}"
107,"{""a"": -1119.5859375052864, ""b"": -36870.4687499858, ""c"": 1537374.398261521}"
108,"{""a"": 36591.117187408105, ""b"": -48972.23437490893, ""c"": -572547.7228879181}"
109,"{""a"": 7462.792968810909, ""b"": -44845.20703124141, ""c"": 1263694.238017941}"
110,"{""a"": 1353.603515630009, ""b"": -23431.69335937487, ""c"": 836855.2639962331}"
111,"{""a"": -24847.207031292484, ""b"": 15232.324218732327, ""c"": 1107704.734427443}"
112,"{""a"": 8372.162109377388, ""b"": 22305.603515587918, ""c"": -1452641.623980632}"
113,"{""a"": 25079.04492194818, ""b"": -637.9277344211514, ""c"": -1693174.2605378688}"
114,"{""a"": -2411.2792968846857, ""b"": -17387.2792968464, ""c"": 856574.2564521716}"
115,"{""a"": 4258.072265620483, ""b"": -15314.396484343666, ""c"": 316605.2656997554}"
116,"{""a"": -18717.83789063214, ""b"": 8734.30664059765, ""c"": 944415.2777188565}"
117,"{""a"": 17722.072265648178, ""b"": 21611.51367185369, ""c"": -2067674.073831317}"
118,"{""a"": -30240.703124995856, ""b"": 14199.117187459655, ""c"": 1520347.9270472077}"
119,"{""a"": 13685.765624996373, ""b"": 2545.9101562116593, ""c"": -1037254.8202277276}"
120,"{""a"": -17712.720703131556, ""b"": 2514.955078162686, ""c"": 1121519.7960072616}"
121,"{""a"": 48347.27929690139, ""b"": -28159.89257807497, ""c"": -2199504.4817347424}"
122,"{""a"": -20028.234375054675, ""b"": -31742.61328123483, ""c"": 2631936.78300608}"
123,"{""a"": -1720.8105468704618, ""b"": -9126.720703116693, ""c"": 482534.42489926255}"
124,"{""a"": 28564.576171793884, ""b"": 8158.3066406863945, ""c"": -2278106.1199553567}"
125,"{""a"": -26393.783203168685, ""b"": -11579.04492185654, ""c"": 2272474.073930491}"
126,"{""a"": -13620.955078118775, ""b"": -45748.81054691685, ""c"": 2746095.641097418}"
127,"{""a"": -9799.91015623954, ""b"": -36342.0000000391, ""c"": 2112208.653321139}"
128,"{""a"": 16438.324218693924, ""b"": 4592.88281252062, ""c"": -1305928.7079461848}"
129,"{""a"": 4377.603515608433, ""b"": 23703.837890624953, ""c"": -1233180.3671204427}"
130,"{""a"": -28676.16210936076, ""b"": 35405.27929686676, ""c"": 573487.8774480774}"
131,"{""a"": -36106.57617192798, ""b"": 38030.39648438594, ""c"": 979885.5724031078}"
132,"{""a"": 27413.296875005755, ""b"": 23175.35156246462, ""c"": -2794431.3667177474}"
133,"{""a"": 13441.675781340646, ""b"": 38715.1171874817, ""c"": -2449033.431836556}"
134,"{""a"": 20605.675781293387, ""b"": 44084.88281240873, ""c"": -3153172.609877303}"
135,"{""a"": 9517.67578126402, ""b"": 13735.441406244612, ""c"": -1192520.8591169612}"
136,"{""a"": -35084.14453122676, ""b"": 793.4414062142969, ""c"": 2382406.0889011817}"
137,"{""a"": -4587.855468728905, ""b"": 26592.4687500093, ""c"": -731849.2134149024}"
138,"{""a"": -7690.306640546958, ""b"": 33764.396484351215, ""c"": -802073.7890351837}"
139,"{""a"": 27650.882812533462, ""b"": 8902.089843684764, ""c"": -2247979.558110072}"
140,"{""a"": -25792.558593793317, ""b"": 3047.765625045373, ""c"": 1655701.543106652}"
141,"{""a"": 22198.324218699167, ""b"": 15726.937500036558, ""c"": -2139875.4692362384}"
142,"{""a"": -32328.72070315104, ""b"": 57759.099609447076, ""c"": -60280.07097518153}"
143,"{""a"": 4204.0898438073455, ""b"": 41518.79296876534, ""c"": -1924773.5626070788}"
144,"{""a"": 21900.2343748933, ""b"": 24973.207031309612, ""c"": -2485189.9610985504}"
145,"{""a"": 15462.720703126686, ""b"": 9518.396484356665, ""c"": -1432985.0637420672}"
146,"{""a"": -13232.882812513477, ""b"": 1443.5859374892134, ""c"": 855031.642633187}"
147,"{""a"": -40336.55859376254, ""b"": 22185.351562534503, ""c"": 1895642.9857123885}"
148,"{""a"": 5037.117187470615, ""b"": 23188.32421875376, ""c"": -1258055.3496123895}"
149,"{""a"": 21569.765624931133, ""b"": -1713.5859374960783, ""c"": -1409120.2978128097}"
150,"{""a"": -40232.16210930455, ""b"": -19051.18945315526, ""c"": 3518213.896390402}"
