id,param
1,"{""a"": -33193.10302712852, ""b"": -16943.609619312665, ""c"": 2949650.1864773347}"
2,"{""a"": -22709.23461916114, ""b"": -9492.736816367098, ""c"": 1935878.515510418}"
3,"{""a"": 25404.730224512252, ""b"": 11157.769775439461, ""c"": -2181157.809397735}"
4,"{""a"": 6193.1304932272415, ""b"": 20208.389282166354, ""c"": -1221292.2020283195}"
5,"{""a"": 37428.7445067636, ""b"": 21123.00109867766, ""c"": -3400261.7643934777}"
6,"{""a"": 19892.257690386865, ""b"": 12230.996704157922, ""c"": -1845454.1306679312}"
7,"{""a"": -17426.239013701586, ""b"": -30840.76538081612, ""c"": 2418600.49026522}"
8,"{""a"": -27844.876098683682, ""b"": -49840.87829579784, ""c"": 3884988.4770884397}"
9,"{""a"": -23649.774169905286, ""b"": -21217.51098613467, ""c"": 2464972.262823851}"
10,"{""a"": -37555.88378902875, ""b"": 1308.3618163530555, ""c"": 2528277.4430082096}"
11,"{""a"": -3133.10852045479, ""b"": -8985.360717784946, ""c"": 573076.1206404321}"
12,"{""a"": 50883.75549320998, ""b"": -27908.981323324973, ""c"": -2385718.8897856427}"
13,"{""a"": 27618.749999954573, ""b"": -52830.01098634487, ""c"": 196823.56052776653}"
14,"{""a"": -9107.995605405398, ""b"": -60822.015380924684, ""c"": 3033894.609258794}"
15,"{""a"": 31288.48571772854, ""b"": -47679.75769046621, ""c"": -258960.60753178896}"
16,"{""a"": 34314.75219730492, ""b"": -55232.99560529144, ""c"": -167956.59498804397}"
17,"{""a"": -29695.495605684788, ""b"": -62500.50659172382, ""c"": 4514077.810291789}"
18,"{""a"": -31654.138183570467, ""b"": -55108.13598624352, ""c"": 4356161.835985961}"
19,"{""a"": -24127.84423827346, ""b"": -36073.11401382005, ""c"": 3086481.2385383463}"
20,"{""a"": -8330.65795896788, ""b"": -2905.8837890583673, ""c"": 689846.6362673193}"
21,"{""a"": -15681.362915206171, ""b"": -417.3980712233788, ""c"": 1096206.6088650788}"
22,"{""a"": -4769.989013700039, ""b"": -15826.519775394474, ""c"": 956335.603319347}"
23,"{""a"": -20279.278564350738, ""b"": -4963.513183635652, ""c"": 1591859.0586570401}"
24,"{""a"": 7098.760986332576, ""b"": -6628.491210938904, ""c"": -222757.3332445739}"
25,"{""a"": 29433.38928229474, ""b"": -21016.104126014157, ""c"": -1187839.8010819918}"
26,"{""a"": 19313.992309713547, ""b"": -2722.494506882802, ""c"": -1216270.6333240257}"
27,"{""a"": 29177.984619168175, ""b"": 17203.49121088713, ""c"": -2682056.4975813814}"
28,"{""a"": -36235.13488767085, ""b"": 21425.61950677572, ""c"": 1645033.9368445708}"
29,"{""a"": -12622.205307833128, ""b"": -786.3739013367012, ""c"": 901206.762432277}"
30,"{""a"": 8148.67589610216, ""b"": -28660.501098563036, ""c"": 576508.9883656667}"
31,"{""a"": 14461.01074217135, ""b"": -30765.371704114354, ""c"": 225998.6897484731}"
32,"{""a"": -11794.50988749024, ""b"": 3836.233520425252, ""c"": 660149.9889342075}"
33,"{""a"": -26961.740112344916, ""b"": -20760.726928670698, ""c"": 2673220.3705913783}"
34,"{""a"": 282.376098607871, ""b"": -12036.373901385068, ""c"": 459450.00088742794}"
35,"{""a"": 23781.390380919886, ""b"": -13552.899169918652, ""c"": -1092523.6851086484}"
36,"{""a"": 37050.732421912966, ""b"": -31677.758789032254, ""c"": -1285992.8733253342}"
37,"{""a"": 38151.01318341791, ""b"": -40666.497802618105, ""c"": -1005982.2044831965}"
38,"{""a"": -21066.75109853785, ""b"": -12212.979125939277, ""c"": 1931631.3776928156}"
39,"{""a"": -40901.63269045747, ""b"": 23484.402465878273, ""c"": 1880791.267730325}"
40,"{""a"": -17718.75000017108, ""b"": 1986.7675781553917, ""c"": 1140221.3954573146}"
41,"{""a"": -42687.02087398126, ""b"": -21338.99230964404, ""c"": 3776135.0283127036}"
42,"{""a"": 6350.646972617236, ""b"": -15397.888183574853, ""c"": 175830.77527048477}"
43,"{""a"": 53356.50329591332, ""b"": -8430.770874117865, ""c"": -3325821.7890674165}"
44,"{""a"": 50052.36511230337, ""b"": -8416.104125963393, ""c"": -3099617.272476626}"
45,"{""a"": 8580.377197289992, ""b"": -40546.087646501735, ""c"": 1017769.9087514561}"
46,"{""a"": 23780.264282098102, ""b"": -63868.496704061676, ""c"": 896745.9301906511}"
47,"{""a"": 33584.60082986493, ""b"": -48076.88598611179, ""c"": -400863.26304018527}"
48,"{""a"": -45218.215942625844, ""b"": -24556.503295782684, ""c"": 4079081.1299330667}"
49,"{""a"": -39162.414550801885, ""b"": -8917.877197200847, ""c"": 3044804.918143082}"
50,"{""a"": -39432.34863279129, ""b"": -5140.118408315757, ""c"": 2913932.767222543}"
51,"{""a"": -4164.75219733595, ""b"": -27168.74999998409, ""c"": 1363401.1534389534}"
52,"{""a"": -12287.246704162018, ""b"": -37217.25769033607, ""c"": 2318598.4828572003}"
53,"{""a"": -20794.509887840264, ""b"": -9177.73132329174, ""c"": 1793911.7720379774}"
54,"{""a"": -14392.14477524674, ""b"": -9903.35083011857, ""c"": 1382888.6576150078}"
55,"{""a"": 17500.50659176304, ""b"": -24527.25219723364, ""c"": -229310.30874527866}"
56,"{""a"": 35345.26977551632, ""b"": -26453.265380947843, ""c"": -1378892.6644948795}"
57,"{""a"": 231.72912589343534, ""b"": -31576.49230950874, ""c"": 1235826.270137247}"
58,"{""a"": 22912.8936767892, ""b"": -26155.123901404913, ""c"": -536751.2328192674}"
59,"{""a"": -42725.28076171268, ""b"": -17622.01538093655, ""c"": 3635324.8827006947}"
60,"{""a"": 19930.259076254224, ""b"": -23506.869506790797, ""c"": -436849.0635831472}"
61,"{""a"": 10035.506663619859, ""b"": -32224.4934081711, ""c"": 587816.2871307319}"
62,"{""a"": 3649.0234374996694, ""b"": -19960.894775443616, ""c"": 541663.3842057117}"
63,"{""a"": 13243.469238328677, ""b"": -43024.49340822427, ""c"": 796101.8141379029}"
64,"{""a"": -33061.48681638808, ""b"": -37365.76538085221, ""c"": 3748277.376745603}"
65,"{""a"": -10513.119506836674, ""b"": -29194.876098648914, ""c"": 1878523.4750907142}"
66,"{""a"": 32211.007690514198, ""b"": -25312.47253413275, ""c"": -1205731.3342743167}"
67,"{""a"": 25261.85302729088, ""b"": -3828.350830044743, ""c"": -1578593.2093253906}"
68,"{""a"": 41612.640380706325, ""b"": 13487.640380965939, ""c"": -3385099.4459776003}"
